student_name,student_id,education_qualification,skills,certifications,projects,job_role,salary_expectation,experience_years,location_preference
Neha Gupta,S038,B.Sc IT,"Cloud, DevOps",Data Science with R,Web Scraper,Cloud Engineer,500000.0,1.0,Delhi
Neha Gupta,S158,,"AI, ML, Python",Excel Basics,Student Portal,Marketing Executive,,0.0,Pune
Neha Gupta,S077,B.Com,"Management, Excel",Google Data Analytics,Data Dashboard,Data Scientist,700000.0,1.0,Chennai
Ravi Singh,S119,MBA,"Marketing, Sales",Azure Fundamentals,Customer Retention,Software Developer,400000.0,,Jaipur
Rahul Verma,S413,,,Leadership Basics,Market Analysis,AI Engineer,500000.0,1.0,Delhi
Ravi Singh,S115,B.Com,"Marketing, Sales",AWS Cloud Practitioner,Student Portal,HR Analyst,800000.0,4.0,
Arjun Rao,S299,,"C++, HTML, CSS",AWS Cloud Practitioner,Customer Retention,Business Analyst,900000.0,2.0,Remote
Sneha Patel,S204,B.Com,"Python, ML, SQL",Java Foundations,Customer Retention,Software Developer,900000.0,4.0,Delhi
Kiran Das,S176,BBA,"Java, Spring",AI Certification,Student Portal,Cloud Engineer,550000.0,3.0,Bangalore
Rahul Verma,S248,B.Sc IT,"Python, Excel",Excel Basics,AI Chatbot,Business Analyst,700000.0,,Remote
Ravi Singh,S376,MBA,"C++, HTML, CSS",Python for Everyone,Data Dashboard,Full Stack Developer,900000.0,0.0,Remote
Arjun Rao,S145,B.Com,"AI, ML, Python",Excel Basics,E-commerce Website,AI Engineer,900000.0,,Chennai
Kiran Das,S195,B.Sc IT,"Cloud, DevOps",,,Marketing Executive,400000.0,2.0,Remote
Arjun Rao,S427,MBA,"Marketing, Sales",,Customer Retention,Full Stack Developer,,4.0,Kolkata
Rahul Verma,S440,MBA,"Java, Spring",Excel Basics,Customer Retention,AI Engineer,700000.0,3.0,
Ankit Mehta,S292,BBA,"React, Node.js",AWS Cloud Practitioner,Student Portal,AI Engineer,800000.0,2.0,Kolkata
Sneha Patel,S308,M.Sc Data Science,"Java, Spring",,Student Portal,HR Analyst,,3.0,Mumbai
Ravi Singh,S421,BBA,"C++, HTML, CSS",Leadership Basics,Student Portal,Data Analyst,900000.0,1.0,Delhi
Rahul Verma,S085,BBA,"Marketing, Sales",,Customer Retention,Data Scientist,500000.0,3.0,Mumbai
Neha Gupta,S142,M.Sc Data Science,"Python, Excel",Digital Marketing,Student Portal,Web Developer,350000.0,,Ahmedabad
Ankit Mehta,S422,B.Com,"Cloud, DevOps",Google Data Analytics,Library Management,Full Stack Developer,350000.0,0.0,Remote
Meena Rani,S068,MCA,"Python, Excel",Leadership Basics,Sales Forecasting,Cloud Engineer,600000.0,3.0,Pune
Priya Sharma,S433,BCA,"Management, Excel",Data Science with R,,Full Stack Developer,400000.0,0.0,Remote
Priya Sharma,S228,B.Tech CSE,"Cloud, DevOps",Azure Fundamentals,Customer Retention,Software Developer,500000.0,1.0,Bangalore
Amit Kumar,S169,BBA,"C++, HTML, CSS",AI Certification,Data Dashboard,Web Developer,400000.0,0.0,Bangalore
Kiran Das,S189,MCA,"Cloud, DevOps",Azure Fundamentals,Data Dashboard,Software Developer,700000.0,1.0,Mumbai
Sneha Patel,S272,MBA,"React, Node.js",,Market Analysis,Business Analyst,900000.0,4.0,Mumbai
Rahul Verma,S435,M.Tech AI,"Management, Excel",Java Foundations,,Data Scientist,550000.0,3.0,Delhi
Amit Kumar,S269,MBA,"Data Analytics, Power BI",,HR Automation,Data Analyst,350000.0,,Pune
Arjun Rao,S194,B.Tech CSE,"AI, ML, Python",Azure Fundamentals,Library Management,Marketing Executive,550000.0,0.0,Remote
Ankit Mehta,S153,MCA,"Marketing, Sales",Java Foundations,Student Portal,Marketing Executive,550000.0,,Mumbai
Kiran Das,S195,B.Sc IT,"Cloud, DevOps",,,Marketing Executive,400000.0,2.0,Remote
Priya Sharma,S356,M.Sc Data Science,"Data Analytics, Power BI",AWS Cloud Practitioner,Data Dashboard,AI Engineer,350000.0,3.0,Kolkata
Sneha Patel,S411,B.Tech ECE,"Data Analytics, Power BI",Data Science with R,Market Analysis,Business Analyst,900000.0,2.0,Hyderabad
Ankit Mehta,S404,BCA,"Python, Excel",,Sales Forecasting,AI Engineer,700000.0,3.0,Bangalore
Kiran Das,S104,M.Tech AI,"Marketing, Sales",Digital Marketing,Sales Forecasting,Data Analyst,700000.0,4.0,Hyderabad
Meena Rani,S378,MCA,"AI, ML, Python",AWS Cloud Practitioner,E-commerce Website,Software Developer,450000.0,2.0,Pune
Neha Gupta,S075,B.Tech ECE,"Marketing, Sales",Python for Everyone,HR Automation,Cloud Engineer,400000.0,1.0,Pune
Ankit Mehta,S354,B.Com,"React, Node.js",Digital Marketing,Market Analysis,Web Developer,800000.0,,Remote
Arjun Rao,S212,B.Tech ECE,"C++, HTML, CSS",,Sales Forecasting,Full Stack Developer,350000.0,1.0,Jaipur
Ravi Singh,S120,BCA,"Python, ML, SQL",Data Science with R,Student Portal,HR Analyst,700000.0,0.0,Remote
Ankit Mehta,S323,BCA,"Java, Spring",Java Foundations,Library Management,Data Analyst,400000.0,0.0,Ahmedabad
Kiran Das,S343,M.Sc Data Science,"Python, Excel",Google Data Analytics,Market Analysis,HR Analyst,900000.0,3.0,Delhi
Sneha Patel,S409,BCA,"React, Node.js",AI Certification,Student Portal,Web Developer,500000.0,3.0,Chennai
Ravi Singh,S461,B.Tech CSE,"AI, ML, Python",Data Science with R,Web Scraper,Cloud Engineer,900000.0,3.0,Hyderabad
Meena Rani,S333,M.Tech AI,"Java, Spring",Data Science with R,Sales Forecasting,Web Developer,500000.0,4.0,Hyderabad
Ravi Singh,S287,B.Sc IT,"Cloud, DevOps",Python for Everyone,Library Management,Marketing Executive,550000.0,2.0,Hyderabad
Rahul Verma,S339,MBA,"Python, ML, SQL",Excel Basics,E-commerce Website,HR Analyst,500000.0,4.0,
Priya Sharma,S443,BCA,"C++, HTML, CSS",Data Science with R,Customer Retention,Full Stack Developer,450000.0,1.0,Mumbai
Ankit Mehta,S342,MCA,"Java, Spring",AI Certification,Data Dashboard,Data Analyst,800000.0,3.0,Delhi
Rahul Verma,S037,M.Sc Data Science,,AWS Cloud Practitioner,HR Automation,AI Engineer,550000.0,3.0,Pune
Arjun Rao,S140,BBA,"AI, ML, Python",Azure Fundamentals,E-commerce Website,Cloud Engineer,500000.0,2.0,Hyderabad
Amit Kumar,S254,M.Sc Data Science,"Data Analytics, Power BI",Python for Everyone,Customer Retention,HR Analyst,600000.0,1.0,Jaipur
Arjun Rao,S326,B.Com,"AI, ML, Python",Java Foundations,Customer Retention,Software Developer,800000.0,,Mumbai
Neha Gupta,S060,B.Com,"React, Node.js",,Customer Retention,Business Analyst,400000.0,,Hyderabad
Rahul Verma,S112,B.Tech ECE,"Python, Excel",Azure Fundamentals,Library Management,Marketing Executive,800000.0,3.0,Jaipur
Sneha Patel,S303,B.Tech ECE,"Marketing, Sales",Excel Basics,Web Scraper,Data Analyst,900000.0,2.0,
Priya Sharma,S463,B.Tech ECE,"Management, Excel",Leadership Basics,Customer Retention,AI Engineer,450000.0,4.0,Remote
Ankit Mehta,S263,,"C++, HTML, CSS",Digital Marketing,Student Portal,Data Scientist,600000.0,4.0,Mumbai
Ankit Mehta,S416,BCA,"Cloud, DevOps",AWS Cloud Practitioner,E-commerce Website,Full Stack Developer,,1.0,Kolkata
Rahul Verma,S151,B.Sc IT,"Data Analytics, Power BI",Java Foundations,AI Chatbot,Cloud Engineer,550000.0,1.0,Jaipur
Rahul Verma,S267,B.Tech ECE,"Data Analytics, Power BI",Leadership Basics,E-commerce Website,Data Analyst,,2.0,Mumbai
Priya Sharma,S441,MBA,"AI, ML, Python",Data Science with R,Library Management,HR Analyst,800000.0,4.0,Chennai
Sneha Patel,S039,BBA,"Marketing, Sales",Java Foundations,,Data Scientist,700000.0,4.0,Delhi
Ravi Singh,S361,M.Sc Data Science,"C++, HTML, CSS",Excel Basics,Data Dashboard,Web Developer,550000.0,2.0,Hyderabad
Ankit Mehta,S199,MCA,"C++, HTML, CSS",AI Certification,Market Analysis,AI Engineer,400000.0,2.0,Ahmedabad
Ankit Mehta,S297,MCA,"AI, ML, Python",Leadership Basics,Customer Retention,Business Analyst,550000.0,3.0,Ahmedabad
Arjun Rao,S147,BBA,"Python, ML, SQL",Leadership Basics,,AI Engineer,450000.0,1.0,Chennai
Priya Sharma,S453,,"C++, HTML, CSS",AWS Cloud Practitioner,Customer Retention,Software Developer,500000.0,,Jaipur
Ankit Mehta,S148,BBA,"Java, Spring",Python for Everyone,,Marketing Executive,450000.0,0.0,Remote
Meena Rani,S401,B.Tech ECE,"C++, HTML, CSS",AWS Cloud Practitioner,Library Management,Business Analyst,800000.0,4.0,Delhi
Arjun Rao,S425,B.Tech CSE,"Management, Excel",Data Science with R,AI Chatbot,Cloud Engineer,800000.0,4.0,Mumbai
Arjun Rao,S124,M.Tech AI,"AI, ML, Python",AI Certification,HR Automation,Full Stack Developer,800000.0,3.0,Jaipur
Sneha Patel,S426,,"Python, Excel",AWS Cloud Practitioner,Market Analysis,HR Analyst,,4.0,Bangalore
Kiran Das,S097,BCA,"Marketing, Sales",Google Data Analytics,Web Scraper,Cloud Engineer,400000.0,,Pune
Kiran Das,S144,MBA,"AI, ML, Python",Python for Everyone,Web Scraper,AI Engineer,900000.0,4.0,Jaipur
Priya Sharma,S240,,"Management, Excel",AWS Cloud Practitioner,HR Automation,Business Analyst,350000.0,2.0,Mumbai
Rahul Verma,S462,MBA,"Python, ML, SQL",AWS Cloud Practitioner,Market Analysis,AI Engineer,350000.0,2.0,Jaipur
Rahul Verma,S098,,"React, Node.js",Data Science with R,Market Analysis,Cloud Engineer,800000.0,1.0,Jaipur
Neha Gupta,S468,MBA,"Java, Spring",Data Science with R,Library Management,Full Stack Developer,,0.0,Bangalore
Rahul Verma,S294,B.Sc IT,"Management, Excel",Excel Basics,E-commerce Website,AI Engineer,450000.0,,Remote
Ravi Singh,S405,MBA,"Java, Spring",Azure Fundamentals,Library Management,Full Stack Developer,400000.0,,Kolkata
Arjun Rao,S123,B.Sc IT,"C++, HTML, CSS",Data Science with R,Web Scraper,Web Developer,400000.0,3.0,Ahmedabad
Arjun Rao,S184,MCA,"Cloud, DevOps",,HR Automation,Software Developer,800000.0,1.0,Delhi
Amit Kumar,S203,M.Tech AI,"Cloud, DevOps",Java Foundations,Web Scraper,HR Analyst,,,Pune
Meena Rani,S247,MBA,"Marketing, Sales",Data Science with R,Market Analysis,Web Developer,450000.0,1.0,Delhi
Meena Rani,S471,MBA,"Python, Excel",AWS Cloud Practitioner,Data Dashboard,Business Analyst,450000.0,,Chennai
Sneha Patel,S341,B.Tech ECE,"React, Node.js",Python for Everyone,E-commerce Website,Data Analyst,900000.0,,Kolkata
Arjun Rao,S406,M.Tech AI,"AI, ML, Python",Google Data Analytics,Sales Forecasting,AI Engineer,500000.0,0.0,Bangalore
Priya Sharma,S442,B.Com,"Python, Excel",AI Certification,HR Automation,AI Engineer,700000.0,0.0,Delhi
Neha Gupta,S457,B.Sc IT,"Java, Spring",Google Data Analytics,AI Chatbot,Data Scientist,,2.0,
Kiran Das,S325,B.Com,"Python, Excel",Data Science with R,Student Portal,Software Developer,450000.0,1.0,Pune
Amit Kumar,S126,M.Sc Data Science,"React, Node.js",Excel Basics,Data Dashboard,Business Analyst,500000.0,,Delhi
Priya Sharma,S347,M.Sc Data Science,"C++, HTML, CSS",Java Foundations,Market Analysis,Data Analyst,800000.0,4.0,Pune
Sneha Patel,S224,,"Data Analytics, Power BI",AI Certification,Library Management,Marketing Executive,600000.0,0.0,Chennai
Neha Gupta,S484,M.Tech AI,"Data Analytics, Power BI",Python for Everyone,Market Analysis,Cloud Engineer,600000.0,0.0,Delhi
Neha Gupta,S220,B.Com,,Excel Basics,Market Analysis,Data Analyst,500000.0,,Ahmedabad
Neha Gupta,S130,M.Sc Data Science,"C++, HTML, CSS",Java Foundations,AI Chatbot,Data Scientist,,2.0,Delhi
Ravi Singh,S486,B.Sc IT,"AI, ML, Python",AWS Cloud Practitioner,Customer Retention,Data Scientist,800000.0,1.0,Hyderabad
Kiran Das,S330,BBA,"Java, Spring",Azure Fundamentals,Web Scraper,Business Analyst,400000.0,2.0,Remote
Rahul Verma,S377,B.Tech ECE,"Cloud, DevOps",Leadership Basics,Market Analysis,Business Analyst,900000.0,2.0,Mumbai
Kiran Das,S437,B.Com,"React, Node.js",Azure Fundamentals,E-commerce Website,Software Developer,350000.0,1.0,Ahmedabad
Priya Sharma,S332,B.Sc IT,"Marketing, Sales",Data Science with R,,Full Stack Developer,,3.0,Jaipur
Ankit Mehta,S497,M.Tech AI,"Management, Excel",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,350000.0,,Bangalore
Amit Kumar,S337,B.Tech CSE,"Java, Spring",Leadership Basics,Library Management,Data Analyst,550000.0,,Hyderabad
Kiran Das,S295,MBA,"Cloud, DevOps",Java Foundations,Market Analysis,Web Developer,400000.0,3.0,
Arjun Rao,S424,MBA,"Python, Excel",Excel Basics,Student Portal,Cloud Engineer,,1.0,Jaipur
Meena Rani,S372,M.Tech AI,,Excel Basics,Library Management,AI Engineer,350000.0,,Delhi
Priya Sharma,S349,M.Sc Data Science,,AI Certification,,Data Scientist,550000.0,1.0,Kolkata
Rahul Verma,S113,M.Tech AI,"Java, Spring",AI Certification,Market Analysis,Data Scientist,400000.0,,Jaipur
Neha Gupta,S180,B.Com,"Data Analytics, Power BI",AWS Cloud Practitioner,Sales Forecasting,Web Developer,400000.0,3.0,Delhi
Ankit Mehta,S353,MCA,"Data Analytics, Power BI",,Data Dashboard,HR Analyst,,1.0,Delhi
Ankit Mehta,S389,MBA,,AWS Cloud Practitioner,Sales Forecasting,AI Engineer,900000.0,3.0,Chennai
Priya Sharma,S432,B.Tech ECE,"Data Analytics, Power BI",Leadership Basics,AI Chatbot,Data Analyst,600000.0,0.0,Kolkata
Priya Sharma,S315,M.Sc Data Science,"Cloud, DevOps",Digital Marketing,Data Dashboard,Business Analyst,,,
Amit Kumar,S152,M.Sc Data Science,"Management, Excel",AWS Cloud Practitioner,Student Portal,AI Engineer,600000.0,0.0,Pune
Ravi Singh,S415,MBA,"Python, ML, SQL",Excel Basics,AI Chatbot,Data Analyst,600000.0,0.0,Pune
Priya Sharma,S234,BBA,"Cloud, DevOps",AI Certification,Web Scraper,Data Analyst,700000.0,2.0,Chennai
Priya Sharma,S307,B.Tech ECE,,Digital Marketing,Data Dashboard,HR Analyst,700000.0,0.0,Ahmedabad
Arjun Rao,S357,BCA,"Marketing, Sales",,AI Chatbot,Data Analyst,700000.0,0.0,Jaipur
Rahul Verma,S165,MBA,"Management, Excel",Excel Basics,Library Management,Data Analyst,550000.0,4.0,Delhi
Arjun Rao,S318,MCA,"Java, Spring",Excel Basics,Market Analysis,Data Analyst,900000.0,3.0,Pune
Amit Kumar,S137,BCA,"Management, Excel",Azure Fundamentals,Web Scraper,Software Developer,500000.0,2.0,Ahmedabad
Ankit Mehta,S198,BCA,"Java, Spring",Java Foundations,Sales Forecasting,AI Engineer,900000.0,0.0,Chennai
Arjun Rao,S259,,"Management, Excel",AWS Cloud Practitioner,Student Portal,Web Developer,900000.0,2.0,Kolkata
Priya Sharma,S233,B.Tech ECE,"Java, Spring",Data Science with R,E-commerce Website,Cloud Engineer,700000.0,,Jaipur
Arjun Rao,S116,M.Tech AI,"Java, Spring",Digital Marketing,Data Dashboard,Data Scientist,,,Chennai
Arjun Rao,S121,B.Tech ECE,"Data Analytics, Power BI",AWS Cloud Practitioner,HR Automation,Cloud Engineer,550000.0,0.0,Hyderabad
Sneha Patel,S478,M.Tech AI,"Python, Excel",Data Science with R,Library Management,Marketing Executive,700000.0,,Hyderabad
Ankit Mehta,S225,MCA,"Data Analytics, Power BI",Excel Basics,Sales Forecasting,Data Analyst,350000.0,1.0,Mumbai
Amit Kumar,S464,BBA,"Java, Spring",Google Data Analytics,AI Chatbot,Web Developer,350000.0,2.0,Delhi
Arjun Rao,S074,MBA,"Python, ML, SQL",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,,1.0,Jaipur
Ravi Singh,S348,MBA,"Data Analytics, Power BI",Digital Marketing,Customer Retention,Marketing Executive,700000.0,2.0,Mumbai
Meena Rani,S128,BBA,"C++, HTML, CSS",Excel Basics,Library Management,AI Engineer,900000.0,,Remote
Amit Kumar,S137,BCA,"Management, Excel",Azure Fundamentals,Web Scraper,Software Developer,500000.0,2.0,Ahmedabad
Neha Gupta,S286,B.Tech CSE,"Marketing, Sales",Python for Everyone,Library Management,Web Developer,550000.0,2.0,
Arjun Rao,S362,BBA,"Management, Excel",Azure Fundamentals,Web Scraper,Data Analyst,550000.0,0.0,Pune
Sneha Patel,S409,BCA,"React, Node.js",AI Certification,Student Portal,Web Developer,500000.0,3.0,Chennai
Ankit Mehta,S108,MBA,"Data Analytics, Power BI",Azure Fundamentals,E-commerce Website,Software Developer,900000.0,4.0,Chennai
Arjun Rao,S496,M.Tech AI,"Management, Excel",Data Science with R,E-commerce Website,Software Developer,900000.0,2.0,Remote
Amit Kumar,S374,BCA,"Marketing, Sales",Google Data Analytics,Student Portal,Data Analyst,900000.0,3.0,Pune
Priya Sharma,S134,M.Tech AI,"Cloud, DevOps",Data Science with R,Student Portal,HR Analyst,500000.0,3.0,Delhi
Rahul Verma,S434,BBA,"Python, Excel",Azure Fundamentals,Student Portal,Data Analyst,600000.0,4.0,Hyderabad
Ravi Singh,S045,MBA,,,Market Analysis,Data Analyst,700000.0,2.0,Pune
Rahul Verma,S170,B.Tech CSE,"C++, HTML, CSS",,Market Analysis,Cloud Engineer,,0.0,Remote
Amit Kumar,S066,M.Tech AI,"React, Node.js",AI Certification,Student Portal,AI Engineer,600000.0,3.0,Bangalore
Neha Gupta,S284,M.Sc Data Science,"Data Analytics, Power BI",Digital Marketing,Customer Retention,Cloud Engineer,400000.0,,Mumbai
Priya Sharma,S086,MCA,"AI, ML, Python",Google Data Analytics,HR Automation,Data Analyst,450000.0,,Mumbai
Ravi Singh,S243,BBA,"Java, Spring",Java Foundations,HR Automation,Business Analyst,550000.0,,Jaipur
Priya Sharma,S187,BCA,"Marketing, Sales",Excel Basics,E-commerce Website,HR Analyst,700000.0,2.0,Mumbai
Sneha Patel,S498,BBA,"Cloud, DevOps",Python for Everyone,Data Dashboard,Web Developer,600000.0,4.0,Chennai
Ravi Singh,S160,BCA,"Cloud, DevOps",Leadership Basics,Data Dashboard,Software Developer,800000.0,,Pune
Kiran Das,S013,,"Python, Excel",Azure Fundamentals,Data Dashboard,Software Developer,900000.0,4.0,Remote
Kiran Das,S036,MBA,"React, Node.js",,Library Management,Cloud Engineer,700000.0,3.0,Chennai
Neha Gupta,S029,M.Tech AI,"Cloud, DevOps",Data Science with R,Market Analysis,Software Developer,800000.0,1.0,Ahmedabad
Meena Rani,S171,BCA,"Cloud, DevOps",Data Science with R,E-commerce Website,Web Developer,450000.0,0.0,Mumbai
Rahul Verma,S143,MBA,"Data Analytics, Power BI",AWS Cloud Practitioner,Student Portal,Full Stack Developer,800000.0,1.0,Remote
Sneha Patel,S498,BBA,"Cloud, DevOps",Python for Everyone,Data Dashboard,Web Developer,600000.0,4.0,Chennai
Ravi Singh,S335,M.Tech AI,"Marketing, Sales",Digital Marketing,Sales Forecasting,Business Analyst,350000.0,0.0,Jaipur
Arjun Rao,S222,M.Sc Data Science,"Management, Excel",,Market Analysis,Web Developer,450000.0,0.0,Kolkata
Ravi Singh,S487,BBA,"Python, Excel",Leadership Basics,Library Management,Web Developer,450000.0,0.0,Kolkata
Ravi Singh,S096,,"Data Analytics, Power BI",Data Science with R,Data Dashboard,Web Developer,700000.0,2.0,Bangalore
Neha Gupta,S052,B.Sc IT,"Python, Excel",Google Data Analytics,AI Chatbot,HR Analyst,450000.0,4.0,Kolkata
Arjun Rao,S241,B.Tech CSE,"Management, Excel",,Student Portal,Software Developer,800000.0,0.0,Delhi
Ankit Mehta,S430,B.Tech ECE,"Python, ML, SQL",,Student Portal,Software Developer,900000.0,0.0,Pune
Ankit Mehta,S352,B.Sc IT,,Excel Basics,Library Management,Full Stack Developer,450000.0,0.0,Ahmedabad
Ankit Mehta,S439,MBA,"AI, ML, Python",Python for Everyone,Data Dashboard,Cloud Engineer,350000.0,4.0,Jaipur
Sneha Patel,S179,B.Com,"Python, Excel",Google Data Analytics,Library Management,Data Analyst,,4.0,Chennai
Neha Gupta,S451,M.Sc Data Science,"Data Analytics, Power BI",Excel Basics,Student Portal,Data Scientist,400000.0,4.0,
Arjun Rao,S042,B.Tech ECE,"Data Analytics, Power BI",Java Foundations,Data Dashboard,Web Developer,,3.0,Ahmedabad
Amit Kumar,S156,MCA,"Python, Excel",Digital Marketing,E-commerce Website,Marketing Executive,800000.0,2.0,Remote
Amit Kumar,S448,B.Com,"Marketing, Sales",Excel Basics,Customer Retention,Cloud Engineer,900000.0,1.0,Jaipur
Priya Sharma,S207,M.Tech AI,"AI, ML, Python",Azure Fundamentals,AI Chatbot,Cloud Engineer,600000.0,2.0,Remote
Amit Kumar,S393,MCA,"AI, ML, Python",Excel Basics,Customer Retention,HR Analyst,450000.0,2.0,Mumbai
Arjun Rao,S283,M.Tech AI,"Cloud, DevOps",,E-commerce Website,Data Analyst,,3.0,Jaipur
Ankit Mehta,S359,B.Com,"Python, ML, SQL",Excel Basics,Library Management,AI Engineer,700000.0,0.0,Mumbai
Amit Kumar,S398,MCA,"Management, Excel",Java Foundations,Sales Forecasting,Data Analyst,450000.0,3.0,Delhi
Ravi Singh,S255,BBA,"Java, Spring",AWS Cloud Practitioner,Customer Retention,Cloud Engineer,800000.0,4.0,Chennai
Amit Kumar,S480,BCA,"Python, Excel",Azure Fundamentals,Market Analysis,Data Scientist,900000.0,4.0,Delhi
Sneha Patel,S005,M.Tech AI,"Data Analytics, Power BI",Data Science with R,AI Chatbot,Data Analyst,550000.0,2.0,Hyderabad
Sneha Patel,S257,B.Com,"Python, Excel",AI Certification,,Data Analyst,900000.0,4.0,Remote
Ankit Mehta,S389,MBA,,AWS Cloud Practitioner,Sales Forecasting,AI Engineer,900000.0,3.0,Chennai
Kiran Das,S101,MBA,"AI, ML, Python",Excel Basics,Library Management,Business Analyst,400000.0,,Mumbai
Ravi Singh,S227,BBA,"AI, ML, Python",Azure Fundamentals,Library Management,Marketing Executive,500000.0,3.0,Mumbai
Meena Rani,S493,B.Tech CSE,"Data Analytics, Power BI",,Student Portal,Software Developer,900000.0,0.0,Jaipur
Rahul Verma,S214,B.Tech CSE,"Cloud, DevOps",Data Science with R,Library Management,Cloud Engineer,600000.0,,Hyderabad
Priya Sharma,S488,M.Sc Data Science,"React, Node.js",AI Certification,Web Scraper,HR Analyst,550000.0,0.0,Hyderabad
Arjun Rao,S172,,"AI, ML, Python",AWS Cloud Practitioner,Data Dashboard,Marketing Executive,600000.0,0.0,Mumbai
Kiran Das,S099,MBA,"AI, ML, Python",,AI Chatbot,Cloud Engineer,,0.0,Remote
Arjun Rao,S293,B.Com,"Python, Excel",Azure Fundamentals,Customer Retention,Marketing Executive,600000.0,3.0,Kolkata
Sneha Patel,S216,B.Com,"Python, Excel",Digital Marketing,Customer Retention,Web Developer,800000.0,1.0,Mumbai
Meena Rani,S062,MCA,"Data Analytics, Power BI",Python for Everyone,Student Portal,Cloud Engineer,,0.0,Kolkata
Ravi Singh,S407,MCA,"Cloud, DevOps",Excel Basics,HR Automation,Data Analyst,350000.0,2.0,Mumbai
Amit Kumar,S048,MBA,"Java, Spring",,Sales Forecasting,Data Analyst,350000.0,,Jaipur
Priya Sharma,S033,B.Sc IT,"C++, HTML, CSS",Data Science with R,Student Portal,Data Scientist,600000.0,,Jaipur
Neha Gupta,S418,B.Tech ECE,"Cloud, DevOps",Digital Marketing,HR Automation,HR Analyst,800000.0,0.0,Delhi
Rahul Verma,S268,,"Management, Excel",Azure Fundamentals,Web Scraper,Marketing Executive,500000.0,,Pune
Neha Gupta,S328,B.Com,"Python, ML, SQL",Excel Basics,Web Scraper,Business Analyst,450000.0,0.0,
Neha Gupta,S201,MBA,,,Data Dashboard,Marketing Executive,600000.0,3.0,Kolkata
Arjun Rao,S135,BCA,"Java, Spring",Leadership Basics,E-commerce Website,Full Stack Developer,600000.0,2.0,Pune
Ravi Singh,S028,B.Com,"Cloud, DevOps",Leadership Basics,Student Portal,Marketing Executive,700000.0,3.0,Kolkata
Arjun Rao,S450,B.Tech CSE,"AI, ML, Python",Python for Everyone,E-commerce Website,Web Developer,550000.0,,Hyderabad
Amit Kumar,S231,B.Com,,,Web Scraper,AI Engineer,550000.0,4.0,Hyderabad
Amit Kumar,S261,MBA,"Management, Excel",AWS Cloud Practitioner,Customer Retention,AI Engineer,800000.0,1.0,Pune
Priya Sharma,S379,,"Java, Spring",Digital Marketing,Data Dashboard,Data Scientist,,1.0,Delhi
Meena Rani,S289,MCA,"AI, ML, Python",Google Data Analytics,Student Portal,HR Analyst,550000.0,2.0,Remote
Sneha Patel,S419,BCA,"Java, Spring",AI Certification,Sales Forecasting,Marketing Executive,800000.0,3.0,Hyderabad
Neha Gupta,S163,M.Sc Data Science,"Python, ML, SQL",Python for Everyone,HR Automation,Software Developer,,,Hyderabad
Meena Rani,S392,M.Sc Data Science,"Java, Spring",Excel Basics,Data Dashboard,Full Stack Developer,550000.0,2.0,Chennai
Arjun Rao,S491,B.Com,"React, Node.js",Python for Everyone,Web Scraper,Full Stack Developer,500000.0,1.0,Ahmedabad
Amit Kumar,S139,MCA,"Cloud, DevOps",Google Data Analytics,Web Scraper,Marketing Executive,550000.0,1.0,Jaipur
Kiran Das,S063,B.Tech ECE,"Marketing, Sales",Java Foundations,AI Chatbot,Web Developer,600000.0,4.0,Ahmedabad
Neha Gupta,S136,BBA,"Management, Excel",Google Data Analytics,Customer Retention,Data Scientist,400000.0,4.0,Kolkata
Sneha Patel,S129,B.Tech ECE,"Cloud, DevOps",Google Data Analytics,AI Chatbot,Web Developer,450000.0,3.0,Pune
Ravi Singh,S120,BCA,"Python, ML, SQL",Data Science with R,Student Portal,HR Analyst,700000.0,0.0,Remote
Rahul Verma,S009,B.Tech ECE,"Java, Spring",Java Foundations,Student Portal,Web Developer,350000.0,,Remote
Ravi Singh,S327,MCA,"Cloud, DevOps",,Customer Retention,Data Analyst,,0.0,Delhi
Priya Sharma,S345,B.Tech CSE,"Java, Spring",Java Foundations,,Full Stack Developer,600000.0,4.0,Kolkata
Arjun Rao,S065,B.Sc IT,"Data Analytics, Power BI",Python for Everyone,,Cloud Engineer,,,Delhi
Meena Rani,S301,M.Sc Data Science,"Marketing, Sales",Google Data Analytics,Student Portal,HR Analyst,500000.0,3.0,Remote
Priya Sharma,S015,B.Tech ECE,"C++, HTML, CSS",Google Data Analytics,Customer Retention,Cloud Engineer,800000.0,3.0,Delhi
Priya Sharma,S157,MBA,"Cloud, DevOps",Leadership Basics,Library Management,Marketing Executive,550000.0,1.0,Ahmedabad
Sneha Patel,S041,BBA,"Python, Excel",,Sales Forecasting,Cloud Engineer,500000.0,1.0,Jaipur
Neha Gupta,S380,B.Tech CSE,"AI, ML, Python",,AI Chatbot,Full Stack Developer,450000.0,0.0,Pune
Ankit Mehta,S188,BCA,"Python, Excel",Azure Fundamentals,Market Analysis,Data Scientist,350000.0,4.0,Kolkata
Meena Rani,S465,MCA,"Java, Spring",Data Science with R,E-commerce Website,AI Engineer,900000.0,,Bangalore
Amit Kumar,S217,MCA,"Java, Spring",Digital Marketing,Student Portal,AI Engineer,800000.0,4.0,Mumbai
Arjun Rao,S410,,"AI, ML, Python",Excel Basics,Sales Forecasting,HR Analyst,350000.0,1.0,Ahmedabad
