student_name,student_id,education_qualification,skills,certifications,projects,job_role,salary_expectation,experience_years,location_preference,skill_count,primary_skill,degree_level
Ankit Mehta,S278,B.Sc IT,"React, Node.js",Azure Fundamentals,AI Chatbot,Data Scientist,900000.0,0,Hyderabad,2.0,React,Bachelors
Rahul Verma,S300,B.Tech CSE,"Cloud, DevOps",Excel Basics,Web Scraper,Cloud Engineer,700000.0,3,Bangalore,2.0,Cloud,Bachelors
Arjun Rao,S298,BBA,"Cloud, DevOps",Leadership Basics,Web Scraper,Cloud Engineer,400000.0,2,Delhi,2.0,Cloud,Other
Amit Kumar,S117,M.Tech AI,"Java, Spring",Java Foundations,Customer Retention,Software Developer,550000.0,0,Bangalore,2.0,Java,Masters
Amit Kumar,S046,B.Tech ECE,"Data Analytics, Power BI",Google Data Analytics,Customer Retention,Marketing Executive,900000.0,4,Jaipur,2.0,Data Analytics,Bachelors
Meena Rani,S229,,"Cloud, DevOps",Google Data Analytics,Library Management,Software Developer,400000.0,3,Chennai,2.0,Cloud,
Arjun Rao,S317,M.Tech AI,,Google Data Analytics,E-commerce Website,Data Analyst,600000.0,2,Ahmedabad,,,Masters
Priya Sharma,S017,M.Sc Data Science,"Data Analytics, Power BI",Azure Fundamentals,AI Chatbot,Marketing Executive,550000.0,2,Mumbai,2.0,Data Analytics,Masters
Rahul Verma,S049,MBA,"React, Node.js",Data Science with R,Student Portal,Software Developer,350000.0,1,Remote,2.0,React,Masters
Arjun Rao,S423,BCA,"React, Node.js",AWS Cloud Practitioner,Customer Retention,Data Analyst,450000.0,2,Bangalore,2.0,React,Bachelors
Priya Sharma,S412,M.Sc Data Science,"React, Node.js",Java Foundations,Data Dashboard,HR Analyst,450000.0,2,Delhi,2.0,React,Masters
Neha Gupta,S273,BCA,"Management, Excel",Google Data Analytics,Customer Retention,HR Analyst,800000.0,4,Mumbai,2.0,Management,Bachelors
Arjun Rao,S245,B.Sc IT,"Cloud, DevOps",,Web Scraper,Full Stack Developer,500000.0,3,Ahmedabad,2.0,Cloud,Bachelors
Priya Sharma,S061,B.Tech ECE,,Python for Everyone,,Full Stack Developer,350000.0,4,Chennai,,,Bachelors
Amit Kumar,S197,B.Com,"AI, ML, Python",Python for Everyone,Library Management,Marketing Executive,550000.0,4,Remote,3.0,Ai,Bachelors
Sneha Patel,S111,MBA,"Java, Spring",Azure Fundamentals,Web Scraper,HR Analyst,550000.0,2,Kolkata,2.0,Java,Masters
Neha Gupta,S458,MCA,"Management, Excel",Python for Everyone,E-commerce Website,Full Stack Developer,800000.0,4,Jaipur,2.0,Management,Masters
Amit Kumar,S302,B.Tech CSE,"Java, Spring",Google Data Analytics,Data Dashboard,AI Engineer,450000.0,0,Remote,2.0,Java,Bachelors
Ravi Singh,S030,BBA,"Management, Excel",Excel Basics,Student Portal,Data Scientist,600000.0,2,Ahmedabad,2.0,Management,Other
Kiran Das,S246,BBA,"AI, ML, Python",Excel Basics,E-commerce Website,HR Analyst,550000.0,3,Remote,3.0,Ai,Other
Ravi Singh,S027,BBA,"Python, ML, SQL",Excel Basics,,HR Analyst,900000.0,3,Bangalore,3.0,Python,Other
Neha Gupta,S008,BBA,"Cloud, DevOps",AI Certification,E-commerce Website,Software Developer,800000.0,3,Chennai,2.0,Cloud,Other
Kiran Das,S182,B.Com,"Python, Excel",,Market Analysis,Web Developer,450000.0,2,Chennai,2.0,Python,Bachelors
Amit Kumar,S051,M.Tech AI,"Python, Excel",Excel Basics,Web Scraper,Software Developer,800000.0,3,Remote,2.0,Python,Masters
Priya Sharma,S109,M.Sc Data Science,"AI, ML, Python",Data Science with R,Web Scraper,AI Engineer,800000.0,2,Hyderabad,3.0,Ai,Masters
Neha Gupta,S038,B.Sc IT,"Cloud, DevOps",Data Science with R,Web Scraper,Cloud Engineer,500000.0,1,Delhi,2.0,Cloud,Bachelors
Neha Gupta,S158,,"AI, ML, Python",Excel Basics,Student Portal,Marketing Executive,550000.0,0,Pune,3.0,Ai,
Ravi Singh,S119,MBA,"Marketing, Sales",Azure Fundamentals,Customer Retention,Software Developer,400000.0,1,Jaipur,2.0,Marketing,Masters
Rahul Verma,S413,,,Leadership Basics,Market Analysis,AI Engineer,500000.0,1,Delhi,,,
Ravi Singh,S115,B.Com,"Marketing, Sales",AWS Cloud Practitioner,Student Portal,HR Analyst,800000.0,4,,2.0,Marketing,Bachelors
Arjun Rao,S299,,"C++, HTML, CSS",AWS Cloud Practitioner,Customer Retention,Business Analyst,900000.0,2,Remote,3.0,C++,
Sneha Patel,S204,B.Com,"Python, ML, SQL",Java Foundations,Customer Retention,Software Developer,900000.0,4,Delhi,3.0,Python,Bachelors
Kiran Das,S176,BBA,"Java, Spring",AI Certification,Student Portal,Cloud Engineer,550000.0,3,Bangalore,2.0,Java,Other
Rahul Verma,S248,B.Sc IT,"Python, Excel",Excel Basics,AI Chatbot,Business Analyst,700000.0,2,Remote,2.0,Python,Bachelors
Ravi Singh,S376,MBA,"C++, HTML, CSS",Python for Everyone,Data Dashboard,Full Stack Developer,900000.0,0,Remote,3.0,C++,Masters
Arjun Rao,S145,B.Com,"AI, ML, Python",Excel Basics,E-commerce Website,AI Engineer,900000.0,2,Chennai,3.0,Ai,Bachelors
Kiran Das,S195,B.Sc IT,"Cloud, DevOps",,,Marketing Executive,400000.0,2,Remote,2.0,Cloud,Bachelors
Arjun Rao,S427,MBA,"Marketing, Sales",,Customer Retention,Full Stack Developer,475000.0,4,Kolkata,2.0,Marketing,Masters
Rahul Verma,S440,MBA,"Java, Spring",Excel Basics,Customer Retention,AI Engineer,700000.0,3,,2.0,Java,Masters
Ankit Mehta,S292,BBA,"React, Node.js",AWS Cloud Practitioner,Student Portal,AI Engineer,800000.0,2,Kolkata,2.0,React,Other
Sneha Patel,S308,M.Sc Data Science,"Java, Spring",,Student Portal,HR Analyst,550000.0,3,Mumbai,2.0,Java,Masters
Ravi Singh,S421,BBA,"C++, HTML, CSS",Leadership Basics,Student Portal,Data Analyst,900000.0,1,Delhi,3.0,C++,Other
Neha Gupta,S142,M.Sc Data Science,"Python, Excel",Digital Marketing,Student Portal,Web Developer,350000.0,2,Ahmedabad,2.0,Python,Masters
Ankit Mehta,S422,B.Com,"Cloud, DevOps",Google Data Analytics,Library Management,Full Stack Developer,350000.0,0,Remote,2.0,Cloud,Bachelors
Meena Rani,S068,MCA,"Python, Excel",Leadership Basics,Sales Forecasting,Cloud Engineer,600000.0,3,Pune,2.0,Python,Masters
Priya Sharma,S433,BCA,"Management, Excel",Data Science with R,,Full Stack Developer,400000.0,0,Remote,2.0,Management,Bachelors
Priya Sharma,S228,B.Tech CSE,"Cloud, DevOps",Azure Fundamentals,Customer Retention,Software Developer,500000.0,1,Bangalore,2.0,Cloud,Bachelors
Amit Kumar,S169,BBA,"C++, HTML, CSS",AI Certification,Data Dashboard,Web Developer,400000.0,0,Bangalore,3.0,C++,Other
Kiran Das,S189,MCA,"Cloud, DevOps",Azure Fundamentals,Data Dashboard,Software Developer,700000.0,1,Mumbai,2.0,Cloud,Masters
Sneha Patel,S272,MBA,"React, Node.js",,Market Analysis,Business Analyst,900000.0,4,Mumbai,2.0,React,Masters
Rahul Verma,S435,M.Tech AI,"Management, Excel",Java Foundations,,Data Scientist,550000.0,3,Delhi,2.0,Management,Masters
Amit Kumar,S269,MBA,"Data Analytics, Power BI",,HR Automation,Data Analyst,350000.0,2,Pune,2.0,Data Analytics,Masters
Arjun Rao,S194,B.Tech CSE,"AI, ML, Python",Azure Fundamentals,Library Management,Marketing Executive,550000.0,0,Remote,3.0,Ai,Bachelors
Ankit Mehta,S153,MCA,"Marketing, Sales",Java Foundations,Student Portal,Marketing Executive,550000.0,2,Mumbai,2.0,Marketing,Masters
Priya Sharma,S356,M.Sc Data Science,"Data Analytics, Power BI",AWS Cloud Practitioner,Data Dashboard,AI Engineer,350000.0,3,Kolkata,2.0,Data Analytics,Masters
Sneha Patel,S411,B.Tech ECE,"Data Analytics, Power BI",Data Science with R,Market Analysis,Business Analyst,900000.0,2,Hyderabad,2.0,Data Analytics,Bachelors
Ankit Mehta,S404,BCA,"Python, Excel",,Sales Forecasting,AI Engineer,700000.0,3,Bangalore,2.0,Python,Bachelors
Kiran Das,S104,M.Tech AI,"Marketing, Sales",Digital Marketing,Sales Forecasting,Data Analyst,700000.0,4,Hyderabad,2.0,Marketing,Masters
Neha Gupta,S075,B.Tech ECE,"Marketing, Sales",Python for Everyone,HR Automation,Cloud Engineer,400000.0,1,Pune,2.0,Marketing,Bachelors
Ankit Mehta,S354,B.Com,"React, Node.js",Digital Marketing,Market Analysis,Web Developer,800000.0,2,Remote,2.0,React,Bachelors
Ravi Singh,S120,BCA,"Python, ML, SQL",Data Science with R,Student Portal,HR Analyst,700000.0,0,Remote,3.0,Python,Bachelors
Ankit Mehta,S323,BCA,"Java, Spring",Java Foundations,Library Management,Data Analyst,400000.0,0,Ahmedabad,2.0,Java,Bachelors
Kiran Das,S343,M.Sc Data Science,"Python, Excel",Google Data Analytics,Market Analysis,HR Analyst,900000.0,3,Delhi,2.0,Python,Masters
Sneha Patel,S409,BCA,"React, Node.js",AI Certification,Student Portal,Web Developer,500000.0,3,Chennai,2.0,React,Bachelors
Ravi Singh,S461,B.Tech CSE,"AI, ML, Python",Data Science with R,Web Scraper,Cloud Engineer,900000.0,3,Hyderabad,3.0,Ai,Bachelors
Meena Rani,S333,M.Tech AI,"Java, Spring",Data Science with R,Sales Forecasting,Web Developer,500000.0,4,Hyderabad,2.0,Java,Masters
Ravi Singh,S287,B.Sc IT,"Cloud, DevOps",Python for Everyone,Library Management,Marketing Executive,550000.0,2,Hyderabad,2.0,Cloud,Bachelors
Rahul Verma,S339,MBA,"Python, ML, SQL",Excel Basics,E-commerce Website,HR Analyst,500000.0,4,,3.0,Python,Masters
Priya Sharma,S443,BCA,"C++, HTML, CSS",Data Science with R,Customer Retention,Full Stack Developer,450000.0,1,Mumbai,3.0,C++,Bachelors
Ankit Mehta,S342,MCA,"Java, Spring",AI Certification,Data Dashboard,Data Analyst,800000.0,3,Delhi,2.0,Java,Masters
Rahul Verma,S037,M.Sc Data Science,,AWS Cloud Practitioner,HR Automation,AI Engineer,550000.0,3,Pune,,,Masters
Arjun Rao,S140,BBA,"AI, ML, Python",Azure Fundamentals,E-commerce Website,Cloud Engineer,500000.0,2,Hyderabad,3.0,Ai,Other
Amit Kumar,S254,M.Sc Data Science,"Data Analytics, Power BI",Python for Everyone,Customer Retention,HR Analyst,600000.0,1,Jaipur,2.0,Data Analytics,Masters
Arjun Rao,S326,B.Com,"AI, ML, Python",Java Foundations,Customer Retention,Software Developer,800000.0,1,Mumbai,3.0,Ai,Bachelors
Neha Gupta,S060,B.Com,"React, Node.js",,Customer Retention,Business Analyst,400000.0,2,Hyderabad,2.0,React,Bachelors
Rahul Verma,S112,B.Tech ECE,"Python, Excel",Azure Fundamentals,Library Management,Marketing Executive,800000.0,3,Jaipur,2.0,Python,Bachelors
Sneha Patel,S303,B.Tech ECE,"Marketing, Sales",Excel Basics,Web Scraper,Data Analyst,900000.0,2,,2.0,Marketing,Bachelors
Priya Sharma,S463,B.Tech ECE,"Management, Excel",Leadership Basics,Customer Retention,AI Engineer,450000.0,4,Remote,2.0,Management,Bachelors
Ankit Mehta,S263,,"C++, HTML, CSS",Digital Marketing,Student Portal,Data Scientist,600000.0,4,Mumbai,3.0,C++,
Ankit Mehta,S416,BCA,"Cloud, DevOps",AWS Cloud Practitioner,E-commerce Website,Full Stack Developer,475000.0,1,Kolkata,2.0,Cloud,Bachelors
Rahul Verma,S151,B.Sc IT,"Data Analytics, Power BI",Java Foundations,AI Chatbot,Cloud Engineer,550000.0,1,Jaipur,2.0,Data Analytics,Bachelors
Rahul Verma,S267,B.Tech ECE,"Data Analytics, Power BI",Leadership Basics,E-commerce Website,Data Analyst,550000.0,2,Mumbai,2.0,Data Analytics,Bachelors
Priya Sharma,S441,MBA,"AI, ML, Python",Data Science with R,Library Management,HR Analyst,800000.0,4,Chennai,3.0,Ai,Masters
Sneha Patel,S039,BBA,"Marketing, Sales",Java Foundations,,Data Scientist,700000.0,4,Delhi,2.0,Marketing,Other
Ravi Singh,S361,M.Sc Data Science,"C++, HTML, CSS",Excel Basics,Data Dashboard,Web Developer,550000.0,2,Hyderabad,3.0,C++,Masters
Ankit Mehta,S199,MCA,"C++, HTML, CSS",AI Certification,Market Analysis,AI Engineer,400000.0,2,Ahmedabad,3.0,C++,Masters
Ankit Mehta,S297,MCA,"AI, ML, Python",Leadership Basics,Customer Retention,Business Analyst,550000.0,3,Ahmedabad,3.0,Ai,Masters
Arjun Rao,S147,BBA,"Python, ML, SQL",Leadership Basics,,AI Engineer,450000.0,1,Chennai,3.0,Python,Other
Priya Sharma,S453,,"C++, HTML, CSS",AWS Cloud Practitioner,Customer Retention,Software Developer,500000.0,1,Jaipur,3.0,C++,
Ankit Mehta,S148,BBA,"Java, Spring",Python for Everyone,,Marketing Executive,450000.0,0,Remote,2.0,Java,Other
Meena Rani,S401,B.Tech ECE,"C++, HTML, CSS",AWS Cloud Practitioner,Library Management,Business Analyst,800000.0,4,Delhi,3.0,C++,Bachelors
Arjun Rao,S425,B.Tech CSE,"Management, Excel",Data Science with R,AI Chatbot,Cloud Engineer,800000.0,4,Mumbai,2.0,Management,Bachelors
Arjun Rao,S124,M.Tech AI,"AI, ML, Python",AI Certification,HR Automation,Full Stack Developer,800000.0,3,Jaipur,3.0,Ai,Masters
Sneha Patel,S426,,"Python, Excel",AWS Cloud Practitioner,Market Analysis,HR Analyst,550000.0,4,Bangalore,2.0,Python,
Kiran Das,S097,BCA,"Marketing, Sales",Google Data Analytics,Web Scraper,Cloud Engineer,400000.0,2,Pune,2.0,Marketing,Bachelors
Kiran Das,S144,MBA,"AI, ML, Python",Python for Everyone,Web Scraper,AI Engineer,900000.0,4,Jaipur,3.0,Ai,Masters
Priya Sharma,S240,,"Management, Excel",AWS Cloud Practitioner,HR Automation,Business Analyst,350000.0,2,Mumbai,2.0,Management,
Rahul Verma,S462,MBA,"Python, ML, SQL",AWS Cloud Practitioner,Market Analysis,AI Engineer,350000.0,2,Jaipur,3.0,Python,Masters
Rahul Verma,S098,,"React, Node.js",Data Science with R,Market Analysis,Cloud Engineer,800000.0,1,Jaipur,2.0,React,
Neha Gupta,S468,MBA,"Java, Spring",Data Science with R,Library Management,Full Stack Developer,475000.0,0,Bangalore,2.0,Java,Masters
Rahul Verma,S294,B.Sc IT,"Management, Excel",Excel Basics,E-commerce Website,AI Engineer,450000.0,2,Remote,2.0,Management,Bachelors
Ravi Singh,S405,MBA,"Java, Spring",Azure Fundamentals,Library Management,Full Stack Developer,400000.0,2,Kolkata,2.0,Java,Masters
Arjun Rao,S123,B.Sc IT,"C++, HTML, CSS",Data Science with R,Web Scraper,Web Developer,400000.0,3,Ahmedabad,3.0,C++,Bachelors
Arjun Rao,S184,MCA,"Cloud, DevOps",,HR Automation,Software Developer,800000.0,1,Delhi,2.0,Cloud,Masters
Amit Kumar,S203,M.Tech AI,"Cloud, DevOps",Java Foundations,Web Scraper,HR Analyst,550000.0,3,Pune,2.0,Cloud,Masters
Meena Rani,S247,MBA,"Marketing, Sales",Data Science with R,Market Analysis,Web Developer,450000.0,1,Delhi,2.0,Marketing,Masters
Meena Rani,S471,MBA,"Python, Excel",AWS Cloud Practitioner,Data Dashboard,Business Analyst,450000.0,2,Chennai,2.0,Python,Masters
Arjun Rao,S406,M.Tech AI,"AI, ML, Python",Google Data Analytics,Sales Forecasting,AI Engineer,500000.0,0,Bangalore,3.0,Ai,Masters
Priya Sharma,S442,B.Com,"Python, Excel",AI Certification,HR Automation,AI Engineer,700000.0,0,Delhi,2.0,Python,Bachelors
Neha Gupta,S457,B.Sc IT,"Java, Spring",Google Data Analytics,AI Chatbot,Data Scientist,600000.0,2,,2.0,Java,Bachelors
Kiran Das,S325,B.Com,"Python, Excel",Data Science with R,Student Portal,Software Developer,450000.0,1,Pune,2.0,Python,Bachelors
Amit Kumar,S126,M.Sc Data Science,"React, Node.js",Excel Basics,Data Dashboard,Business Analyst,500000.0,2,Delhi,2.0,React,Masters
Priya Sharma,S347,M.Sc Data Science,"C++, HTML, CSS",Java Foundations,Market Analysis,Data Analyst,800000.0,4,Pune,3.0,C++,Masters
Sneha Patel,S224,,"Data Analytics, Power BI",AI Certification,Library Management,Marketing Executive,600000.0,0,Chennai,2.0,Data Analytics,
Neha Gupta,S484,M.Tech AI,"Data Analytics, Power BI",Python for Everyone,Market Analysis,Cloud Engineer,600000.0,0,Delhi,2.0,Data Analytics,Masters
Neha Gupta,S220,B.Com,,Excel Basics,Market Analysis,Data Analyst,500000.0,2,Ahmedabad,,,Bachelors
Neha Gupta,S130,M.Sc Data Science,"C++, HTML, CSS",Java Foundations,AI Chatbot,Data Scientist,600000.0,2,Delhi,3.0,C++,Masters
Ravi Singh,S486,B.Sc IT,"AI, ML, Python",AWS Cloud Practitioner,Customer Retention,Data Scientist,800000.0,1,Hyderabad,3.0,Ai,Bachelors
Kiran Das,S330,BBA,"Java, Spring",Azure Fundamentals,Web Scraper,Business Analyst,400000.0,2,Remote,2.0,Java,Other
Rahul Verma,S377,B.Tech ECE,"Cloud, DevOps",Leadership Basics,Market Analysis,Business Analyst,900000.0,2,Mumbai,2.0,Cloud,Bachelors
Kiran Das,S437,B.Com,"React, Node.js",Azure Fundamentals,E-commerce Website,Software Developer,350000.0,1,Ahmedabad,2.0,React,Bachelors
Priya Sharma,S332,B.Sc IT,"Marketing, Sales",Data Science with R,,Full Stack Developer,475000.0,3,Jaipur,2.0,Marketing,Bachelors
Ankit Mehta,S497,M.Tech AI,"Management, Excel",AWS Cloud Practitioner,Sales Forecasting,Marketing Executive,350000.0,2,Bangalore,2.0,Management,Masters
Amit Kumar,S337,B.Tech CSE,"Java, Spring",Leadership Basics,Library Management,Data Analyst,550000.0,2,Hyderabad,2.0,Java,Bachelors
Kiran Das,S295,MBA,"Cloud, DevOps",Java Foundations,Market Analysis,Web Developer,400000.0,3,,2.0,Cloud,Masters
Arjun Rao,S424,MBA,"Python, Excel",Excel Basics,Student Portal,Cloud Engineer,550000.0,1,Jaipur,2.0,Python,Masters
Priya Sharma,S349,M.Sc Data Science,,AI Certification,,Data Scientist,550000.0,1,Kolkata,,,Masters
Rahul Verma,S113,M.Tech AI,"Java, Spring",AI Certification,Market Analysis,Data Scientist,400000.0,2,Jaipur,2.0,Java,Masters
Neha Gupta,S180,B.Com,"Data Analytics, Power BI",AWS Cloud Practitioner,Sales Forecasting,Web Developer,400000.0,3,Delhi,2.0,Data Analytics,Bachelors
Ankit Mehta,S353,MCA,"Data Analytics, Power BI",,Data Dashboard,HR Analyst,550000.0,1,Delhi,2.0,Data Analytics,Masters
Ankit Mehta,S389,MBA,,AWS Cloud Practitioner,Sales Forecasting,AI Engineer,900000.0,3,Chennai,,,Masters
Priya Sharma,S432,B.Tech ECE,"Data Analytics, Power BI",Leadership Basics,AI Chatbot,Data Analyst,600000.0,0,Kolkata,2.0,Data Analytics,Bachelors
Priya Sharma,S315,M.Sc Data Science,"Cloud, DevOps",Digital Marketing,Data Dashboard,Business Analyst,525000.0,2,,2.0,Cloud,Masters
Amit Kumar,S152,M.Sc Data Science,"Management, Excel",AWS Cloud Practitioner,Student Portal,AI Engineer,600000.0,0,Pune,2.0,Management,Masters
Ravi Singh,S415,MBA,"Python, ML, SQL",Excel Basics,AI Chatbot,Data Analyst,600000.0,0,Pune,3.0,Python,Masters
Priya Sharma,S234,BBA,"Cloud, DevOps",AI Certification,Web Scraper,Data Analyst,700000.0,2,Chennai,2.0,Cloud,Other
Priya Sharma,S307,B.Tech ECE,,Digital Marketing,Data Dashboard,HR Analyst,700000.0,0,Ahmedabad,,,Bachelors
Rahul Verma,S165,MBA,"Management, Excel",Excel Basics,Library Management,Data Analyst,550000.0,4,Delhi,2.0,Management,Masters
Arjun Rao,S318,MCA,"Java, Spring",Excel Basics,Market Analysis,Data Analyst,900000.0,3,Pune,2.0,Java,Masters
Amit Kumar,S137,BCA,"Management, Excel",Azure Fundamentals,Web Scraper,Software Developer,500000.0,2,Ahmedabad,2.0,Management,Bachelors
Ankit Mehta,S198,BCA,"Java, Spring",Java Foundations,Sales Forecasting,AI Engineer,900000.0,0,Chennai,2.0,Java,Bachelors
Arjun Rao,S259,,"Management, Excel",AWS Cloud Practitioner,Student Portal,Web Developer,900000.0,2,Kolkata,2.0,Management,
Priya Sharma,S233,B.Tech ECE,"Java, Spring",Data Science with R,E-commerce Website,Cloud Engineer,700000.0,2,Jaipur,2.0,Java,Bachelors
Arjun Rao,S116,M.Tech AI,"Java, Spring",Digital Marketing,Data Dashboard,Data Scientist,600000.0,2,Chennai,2.0,Java,Masters
Arjun Rao,S121,B.Tech ECE,"Data Analytics, Power BI",AWS Cloud Practitioner,HR Automation,Cloud Engineer,550000.0,0,Hyderabad,2.0,Data Analytics,Bachelors
Sneha Patel,S478,M.Tech AI,"Python, Excel",Data Science with R,Library Management,Marketing Executive,700000.0,2,Hyderabad,2.0,Python,Masters
Ankit Mehta,S225,MCA,"Data Analytics, Power BI",Excel Basics,Sales Forecasting,Data Analyst,350000.0,1,Mumbai,2.0,Data Analytics,Masters
Amit Kumar,S464,BBA,"Java, Spring",Google Data Analytics,AI Chatbot,Web Developer,350000.0,2,Delhi,2.0,Java,Other
Meena Rani,S128,BBA,"C++, HTML, CSS",Excel Basics,Library Management,AI Engineer,900000.0,2,Remote,3.0,C++,Other
Neha Gupta,S286,B.Tech CSE,"Marketing, Sales",Python for Everyone,Library Management,Web Developer,550000.0,2,,2.0,Marketing,Bachelors
Ankit Mehta,S108,MBA,"Data Analytics, Power BI",Azure Fundamentals,E-commerce Website,Software Developer,900000.0,4,Chennai,2.0,Data Analytics,Masters
Amit Kumar,S374,BCA,"Marketing, Sales",Google Data Analytics,Student Portal,Data Analyst,900000.0,3,Pune,2.0,Marketing,Bachelors
Priya Sharma,S134,M.Tech AI,"Cloud, DevOps",Data Science with R,Student Portal,HR Analyst,500000.0,3,Delhi,2.0,Cloud,Masters
Rahul Verma,S434,BBA,"Python, Excel",Azure Fundamentals,Student Portal,Data Analyst,600000.0,4,Hyderabad,2.0,Python,Other
Ravi Singh,S045,MBA,,,Market Analysis,Data Analyst,700000.0,2,Pune,,,Masters
Rahul Verma,S170,B.Tech CSE,"C++, HTML, CSS",,Market Analysis,Cloud Engineer,550000.0,0,Remote,3.0,C++,Bachelors
Amit Kumar,S066,M.Tech AI,"React, Node.js",AI Certification,Student Portal,AI Engineer,600000.0,3,Bangalore,2.0,React,Masters
Neha Gupta,S284,M.Sc Data Science,"Data Analytics, Power BI",Digital Marketing,Customer Retention,Cloud Engineer,400000.0,2,Mumbai,2.0,Data Analytics,Masters
Priya Sharma,S086,MCA,"AI, ML, Python",Google Data Analytics,HR Automation,Data Analyst,450000.0,2,Mumbai,3.0,Ai,Masters
Ravi Singh,S243,BBA,"Java, Spring",Java Foundations,HR Automation,Business Analyst,550000.0,2,Jaipur,2.0,Java,Other
Priya Sharma,S187,BCA,"Marketing, Sales",Excel Basics,E-commerce Website,HR Analyst,700000.0,2,Mumbai,2.0,Marketing,Bachelors
Sneha Patel,S498,BBA,"Cloud, DevOps",Python for Everyone,Data Dashboard,Web Developer,600000.0,4,Chennai,2.0,Cloud,Other
Ravi Singh,S160,BCA,"Cloud, DevOps",Leadership Basics,Data Dashboard,Software Developer,800000.0,1,Pune,2.0,Cloud,Bachelors
Kiran Das,S013,,"Python, Excel",Azure Fundamentals,Data Dashboard,Software Developer,900000.0,4,Remote,2.0,Python,
Kiran Das,S036,MBA,"React, Node.js",,Library Management,Cloud Engineer,700000.0,3,Chennai,2.0,React,Masters
Neha Gupta,S029,M.Tech AI,"Cloud, DevOps",Data Science with R,Market Analysis,Software Developer,800000.0,1,Ahmedabad,2.0,Cloud,Masters
Meena Rani,S171,BCA,"Cloud, DevOps",Data Science with R,E-commerce Website,Web Developer,450000.0,0,Mumbai,2.0,Cloud,Bachelors
Rahul Verma,S143,MBA,"Data Analytics, Power BI",AWS Cloud Practitioner,Student Portal,Full Stack Developer,800000.0,1,Remote,2.0,Data Analytics,Masters
Arjun Rao,S222,M.Sc Data Science,"Management, Excel",,Market Analysis,Web Developer,450000.0,0,Kolkata,2.0,Management,Masters
Ravi Singh,S487,BBA,"Python, Excel",Leadership Basics,Library Management,Web Developer,450000.0,0,Kolkata,2.0,Python,Other
Ravi Singh,S096,,"Data Analytics, Power BI",Data Science with R,Data Dashboard,Web Developer,700000.0,2,Bangalore,2.0,Data Analytics,
Neha Gupta,S052,B.Sc IT,"Python, Excel",Google Data Analytics,AI Chatbot,HR Analyst,450000.0,4,Kolkata,2.0,Python,Bachelors
Arjun Rao,S241,B.Tech CSE,"Management, Excel",,Student Portal,Software Developer,800000.0,0,Delhi,2.0,Management,Bachelors
Ankit Mehta,S430,B.Tech ECE,"Python, ML, SQL",,Student Portal,Software Developer,900000.0,0,Pune,3.0,Python,Bachelors
Ankit Mehta,S352,B.Sc IT,,Excel Basics,Library Management,Full Stack Developer,450000.0,0,Ahmedabad,,,Bachelors
Ankit Mehta,S439,MBA,"AI, ML, Python",Python for Everyone,Data Dashboard,Cloud Engineer,350000.0,4,Jaipur,3.0,Ai,Masters
Sneha Patel,S179,B.Com,"Python, Excel",Google Data Analytics,Library Management,Data Analyst,550000.0,4,Chennai,2.0,Python,Bachelors
Arjun Rao,S042,B.Tech ECE,"Data Analytics, Power BI",Java Foundations,Data Dashboard,Web Developer,450000.0,3,Ahmedabad,2.0,Data Analytics,Bachelors
Amit Kumar,S448,B.Com,"Marketing, Sales",Excel Basics,Customer Retention,Cloud Engineer,900000.0,1,Jaipur,2.0,Marketing,Bachelors
Priya Sharma,S207,M.Tech AI,"AI, ML, Python",Azure Fundamentals,AI Chatbot,Cloud Engineer,600000.0,2,Remote,3.0,Ai,Masters
Amit Kumar,S393,MCA,"AI, ML, Python",Excel Basics,Customer Retention,HR Analyst,450000.0,2,Mumbai,3.0,Ai,Masters
Arjun Rao,S283,M.Tech AI,"Cloud, DevOps",,E-commerce Website,Data Analyst,550000.0,3,Jaipur,2.0,Cloud,Masters
Ankit Mehta,S359,B.Com,"Python, ML, SQL",Excel Basics,Library Management,AI Engineer,700000.0,0,Mumbai,3.0,Python,Bachelors
Amit Kumar,S398,MCA,"Management, Excel",Java Foundations,Sales Forecasting,Data Analyst,450000.0,3,Delhi,2.0,Management,Masters
Ravi Singh,S255,BBA,"Java, Spring",AWS Cloud Practitioner,Customer Retention,Cloud Engineer,800000.0,4,Chennai,2.0,Java,Other
Amit Kumar,S480,BCA,"Python, Excel",Azure Fundamentals,Market Analysis,Data Scientist,900000.0,4,Delhi,2.0,Python,Bachelors
Sneha Patel,S005,M.Tech AI,"Data Analytics, Power BI",Data Science with R,AI Chatbot,Data Analyst,550000.0,2,Hyderabad,2.0,Data Analytics,Masters
Sneha Patel,S257,B.Com,"Python, Excel",AI Certification,,Data Analyst,900000.0,4,Remote,2.0,Python,Bachelors
Kiran Das,S101,MBA,"AI, ML, Python",Excel Basics,Library Management,Business Analyst,400000.0,2,Mumbai,3.0,Ai,Masters
Ravi Singh,S227,BBA,"AI, ML, Python",Azure Fundamentals,Library Management,Marketing Executive,500000.0,3,Mumbai,3.0,Ai,Other
Meena Rani,S493,B.Tech CSE,"Data Analytics, Power BI",,Student Portal,Software Developer,900000.0,0,Jaipur,2.0,Data Analytics,Bachelors
Rahul Verma,S214,B.Tech CSE,"Cloud, DevOps",Data Science with R,Library Management,Cloud Engineer,600000.0,2,Hyderabad,2.0,Cloud,Bachelors
